facility_id,facility_name,state,complete_total,total_outcome_score,mortality_score,psi_score,readmission_score,hai_score,hcahps_score
110034,WELLSTAR MCG HEALTH AFFILIATED WITH MED COL,GA,30606,-6,-1,-2,0,-2,-1
510022,CHARLESTON AREA MEDICAL CENTER,WV,27262,-5,0,-3,0,-2,0
40020,ST BERNARDS MEDICAL CENTER,AR,28077,-4,-3,-2,0,1,0
140007,SAINT JOSEPH MEDICAL CENTER,IL,27337,-4,0,-2,0,-1,-1
180104,BAPTIST HEALTH PADUCAH,KY,26225,-4,0,-2,0,-3,1
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,KY,34035,-4,0,-1,0,-2,-1
320001,UNM HOSPITAL,NM,30946,-4,0,-3,0,0,-1
330044,WYNN HOSPITAL,NY,26981,-4,-1,-2,-1,1,-1
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,30252,-4,-1,-1,-1,0,-1
370093,O U MEDICAL CENTER,OK,31949,-4,-1,-4,0,2,-1
440185,AFFILIATE OF VITRUVIAN HEALTH,TN,26225,-4,0,0,0,-3,-1
450133,MIDLAND MEMORIAL HOSPITAL,TX,31214,-4,-3,-1,-1,1,0
10023,BAPTIST MEDICAL CENTER SOUTH,AL,28922,-3,-1,-3,0,1,0
40078,NATIONAL PARK MEDICAL CENTER,AR,32105,-3,-1,-1,-1,1,-1
50737,GARFIELD MEDICAL CENTER,CA,31609,-3,-1,-1,0,-1,0
100022,JACKSON HEALTH SYSTEM,FL,33532,-3,-2,-4,-1,4,0
100157,LAKELAND REGIONAL MEDICAL CENTER,FL,26547,-3,0,-2,0,0,-1
110064,PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,31556,-3,-1,-2,0,0,0
140018,MT SINAI HOSPITAL MEDICAL CENTER,IL,29392,-3,0,0,0,-2,-1
170012,SALINA REGIONAL HEALTH CENTER,KS,28523,-3,-1,-1,0,-1,0
180013,THE MEDICAL CENTER (BOWLING GREEN),KY,29082,-3,-1,0,-1,-1,0
250004,NORTH MISSISSIPPI MEDICAL CENTER,MS,28355,-3,-3,0,-1,1,0
360035,MOUNT CARMEL EAST & WEST,OH,26819,-3,0,0,0,-3,0
360159,ADENA REGIONAL MEDICAL CENTER,OH,25901,-3,0,-2,0,0,-1
10039,HUNTSVILLE HOSPITAL,AL,28934,-2,-2,-4,0,4,0
40016,University of Arkansas Medical Sciences,AR,32828,-2,0,0,0,-2,0
40029,CONWAY REGIONAL MEDICAL CENTER INC,AR,25805,-2,-1,-1,0,0,0
40071,JEFFERSON REGIONAL MEDICAL CENTER,AR,28866,-2,-1,0,0,-1,0
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,CA,28570,-2,0,0,0,-1,-1
50128,TRI-CITY MEDICAL CENTER,CA,28331,-2,0,0,0,-1,-1
50272,REDLANDS COMMUNITY HOSPITAL,CA,30701,-2,-1,0,0,-1,0
50320,HIGHLAND HOSPITAL,CA,27844,-2,0,0,0,-1,-1
50411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,CA,27993,-2,0,0,0,-3,1
50551,UCI HEALTH - LOS ALAMITOS,CA,27002,-2,0,0,0,-1,-1
110107,ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,GA,29891,-2,0,0,-1,0,-1
140158,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,IL,30037,-2,0,0,0,-1,-1
140275,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,IL,28198,-2,0,0,0,-1,-1
180051,JENNIE STUART MEDICAL CENTER,KY,25987,-2,-1,0,-1,0,0
180093,BAPTIST HEALTH DEACONESS MADISONVILLE,KY,28391,-2,-3,0,0,1,0
200009,MAINEHEALTH MAINE MEDICAL CENTER,ME,29149,-2,-1,-1,0,0,0
260200,SSM ST JOSEPH HOSPITAL WEST,MO,26097,-2,0,0,0,-1,-1
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,NJ,30725,-2,0,0,0,-1,-1
310057,VIRTUA MOUNT HOLLY HOSPITAL,NJ,28444,-2,0,0,-1,0,-1
330127,JACOBI MEDICAL CENTER,NY,28752,-2,0,0,0,-1,-1
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,27623,-2,-1,0,0,0,-1
330394,UNITED HEALTH SERVICES HOSPITALS INC,NY,26122,-2,0,-3,0,1,0
340047,NORTH CAROLINA BAPTIST HOSPITAL,NC,28452,-2,-1,-1,0,0,0
370089,NORTHEASTERN HEALTH SYSTEM,OK,25699,-2,0,0,0,-1,-1
450352,HUNT REGIONAL MEDICAL CENTER,TX,26138,-2,0,-1,0,-1,0
500064,HARBORVIEW MEDICAL CENTER,WA,34845,-2,0,-2,0,1,-1
500088,VALLEY MEDICAL CENTER,WA,26188,-2,-2,-2,1,1,0
30006,TUCSON MEDICAL CENTER,AZ,28188,-1,-1,-3,0,4,-1
30083,ABRAZO SCOTTSDALE CAMPUS,AZ,27113,-1,0,0,0,0,-1
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,28253,-1,-3,0,0,3,-1
50056,ANTELOPE VALLEY HOSPITAL,CA,32544,-1,-1,0,0,1,-1
50060,COMMUNITY REGIONAL MEDICAL CENTER,CA,29374,-1,0,-1,0,0,0
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,CA,29848,-1,0,0,0,0,-1
50298,BARSTOW COMMUNITY HOSPITAL,CA,27504,-1,0,0,0,-1,0
50526,HUNTINGTON BEACH HOSPITAL,CA,34069,-1,0,0,0,0,-1
50589,UCI HEALTH - PLACENTIA LINDA,CA,27757,-1,0,0,0,0,-1
50704,MISSION COMMUNITY HOSPITAL,CA,39253,-1,0,0,0,0,-1
50745,CHAPMAN GLOBAL MEDICAL CENTER,CA,35238,-1,0,0,0,-1,0
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,30053,-1,0,-4,0,4,-1
100212,MARION COMMUNTIY HOSPITAL,FL,27356,-1,-1,-3,-1,5,-1
140049,WEST SUBURBAN MEDICAL CENTER,IL,26620,-1,0,0,0,0,-1
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,28811,-1,0,0,-1,1,-1
160083,MERCYONE DES MOINES MEDICAL CENTER,IA,30262,-1,0,0,0,0,-1
170013,HAYS MEDICAL CENTER,KS,28629,-1,-1,-1,0,1,0
180040,UOFL HEALTH - JEWISH HOSPITAL and Mary & Elizabeth Hospital,KY,27829,-1,0,-3,0,3,-1
180088,NORTON HOSPITALS INC,KY,27870,-1,-1,-1,-1,2,0
190050,BEAUREGARD MEMORIAL HOSPITAL,LA,26332,-1,0,0,0,-1,0
190086,NORTHERN LOUISIANA MEDICAL CENTER,LA,29683,-1,0,0,0,0,-1
220175,METROWEST MEDICAL CENTER,MA,27525,-1,0,0,0,0,-1
230053,HENRY FORD HEALTH HOSPITAL,MI,29397,-1,0,-1,0,0,0
230066,MERCY HEALTH MUSKEGON,MI,27616,-1,0,0,0,-1,0
230270,BEAUMONT HOSPITAL - TAYLOR,MI,26413,-1,0,0,0,0,-1
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,MS,30959,-1,0,-5,0,4,0
250082,DELTA HEALTH SYSTEM - THE MEDICAL CENTER,MS,29794,-1,-3,0,-1,3,0
250168,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,MS,30845,-1,0,0,0,-2,1
260095,CENTERPOINT MEDICAL CENTER,MO,29233,-1,0,-1,0,1,-1
260096,NORTH KANSAS CITY HOSPITAL,MO,28223,-1,0,-1,0,0,0
260183,SAINT FRANCIS MEDICAL CENTER,MO,28317,-1,-2,0,0,1,0
310083,CAREWELL HEALTH MEDICAL CENTER,NJ,33594,-1,0,0,0,0,-1
310118,HUDSON REGIONAL HOSPITAL,NJ,31515,-1,-1,0,0,1,-1
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,29393,-1,-1,-3,0,4,-1
330399,ST BARNABAS HOSPITAL,NY,27210,-1,0,-1,0,1,-1
340028,CAPE FEAR VALLEY MEDICAL CENTER,NC,26865,-1,-1,0,0,0,0
340116,FRYE REGIONAL MEDICAL CENTER,NC,26380,-1,-1,0,0,1,-1
360355,OHIO VALLEY SURGICAL HOSPITAL,OH,25918,-1,0,0,0,-1,0
370037,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OK,30262,-1,0,-2,0,1,0
380009,OHSU HOSPITAL AND CLINICS,OR,33529,-1,0,-2,0,0,1
390036,HERITAGE VALLEY BEAVER,PA,27605,-1,0,0,0,-1,0
390204,NAZARETH HOSPITAL,PA,29273,-1,0,0,0,0,-1
450011,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,TX,28453,-1,0,0,0,-1,0
450147,DE TAR HOSPITAL NAVARRO,TX,29316,-1,0,0,0,-1,0
450162,GRACE SURGICAL HOSPITAL,TX,28979,-1,0,0,0,-1,0
450222,HCA HOUSTON HEALTHCARE CONROE,TX,30695,-1,0,-1,0,1,-1
450713,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,TX,29746,-1,-1,-1,0,1,0
510046,PRINCETON COMMUNITY HOSPITAL,WV,26095,-1,-1,0,0,1,-1
